community_id,n_nodes_fixed,n_vertices_fixed,n_edges_fixed,is_connected_fixed,diameter_fixed,n_nodes_orig,n_vertices_orig,n_edges_orig,is_connected_orig,diameter_orig,diameter_diff
1036,2,2,1,TRUE,1,2,2,0,FALSE,,
1037,2,2,1,TRUE,1,2,2,0,FALSE,,
1038,2,2,1,TRUE,1,2,2,0,FALSE,,
1039,2,2,1,TRUE,1,2,2,0,FALSE,,
1040,2,2,1,TRUE,1,2,2,0,FALSE,,
1041,3,3,2,TRUE,2,3,3,0,FALSE,,
1042,2,2,1,TRUE,1,2,2,0,FALSE,,
1043,2,2,1,TRUE,1,2,2,0,FALSE,,
1044,2,2,1,TRUE,1,2,2,0,FALSE,,
1045,2,2,1,TRUE,1,2,2,0,FALSE,,
1046,2,2,1,TRUE,1,2,2,0,FALSE,,
1047,2,2,1,TRUE,1,2,2,0,FALSE,,
1048,2,2,1,TRUE,1,2,2,0,FALSE,,
1049,2,2,1,TRUE,1,2,2,0,FALSE,,
1050,2,2,1,TRUE,1,2,2,0,FALSE,,
1051,2,2,1,TRUE,1,2,2,0,FALSE,,
1052,2,2,1,TRUE,1,2,2,0,FALSE,,
1053,2,2,1,TRUE,1,2,2,0,FALSE,,
1054,2,2,1,TRUE,1,2,2,0,FALSE,,
1055,2,2,1,TRUE,1,2,2,0,FALSE,,
1056,2,2,1,TRUE,1,2,2,0,FALSE,,
1057,2,2,1,TRUE,1,2,2,0,FALSE,,
1058,2,2,1,TRUE,1,2,2,0,FALSE,,
1059,2,2,1,TRUE,1,2,2,0,FALSE,,
1060,3,3,2,TRUE,2,3,3,0,FALSE,,
1061,2,2,1,TRUE,1,2,2,0,FALSE,,
1062,2,2,1,TRUE,1,2,2,0,FALSE,,
1063,2,2,1,TRUE,1,2,2,0,FALSE,,
1064,2,2,1,TRUE,1,2,2,0,FALSE,,
1065,2,2,1,TRUE,1,2,2,0,FALSE,,
1066,2,2,1,TRUE,1,2,2,0,FALSE,,
1067,4,4,3,TRUE,3,4,4,0,FALSE,,
1068,3,3,2,TRUE,2,3,3,0,FALSE,,
1069,3,3,2,TRUE,2,3,3,0,FALSE,,
